School Name,City,Website,Enrollment,Admission Rate (%),Average SAT,Average ACT,Tuition (In State),Tuition (Out of State),Published Cost (Academic Year),Average Net Price,Room & Board (On Campus),Books & Supplies,Other On-Campus Expenses,Other Off-Campus w/Family,Median Debt at Graduation,Median Earnings 10y After Entry,IPEDS ID,OPE8 ID,Data Coverage
Stevens Institute of Technology,Hoboken,www.stevens.edu/,4084.0,43.44,1447.0,33.0,60952.0,60952.0,76449.0,,18650.0,1200.0,1050.0,,27000.0,108772.0,186867,00263900,Partial data
Stockton University,Galloway,https://www.stockton.edu/,7770.0,88.17,1171.0,25.0,15532.0,23420.0,32159.0,,15332.0,1250.0,6920.0,,20500.0,57602.0,186876,00934500,Partial data
Talmudical Academy-New Jersey,Adelphia,https://talmudicalacademynj.com/,78.0,41.67,,,15800.0,15800.0,21300.0,,3000.0,300.0,6000.0,,,40344.0,186900,01198900,Partial data
The College of New Jersey,Ewing,https://www.tcnj.edu/,6831.0,62.14,1247.0,29.0,18685.0,24568.0,37070.0,,15569.0,1200.0,4578.0,,23250.0,73323.0,187134,00264200,Partial data
William Paterson University of New Jersey,Wayne,www.wpunj.edu/,6526.0,92.52,,,15150.0,24464.0,26555.0,,15990.0,1600.0,3140.0,,22334.0,57780.0,187444,00262500,Partial data
Yeshiva Chemdas Hatorah,Lakewood,www.yeshivachemdashatorah.com/,79.0,75.0,,,12150.0,12150.0,19517.0,,3680.0,300.0,6000.0,,,,491622,04264900,Partial data
Yeshiva Gedola Tiferes Yaakov Yitzchok,Lakewood,yeshivatyy.com/,69.0,50.0,,,13700.0,13700.0,19900.0,,2200.0,300.0,6000.0,,,,493716,04280100,Partial data
Yeshiva Gedola Tiferes Yerachmiel,Lakewood,https://yeshivagedolatiferesyerachmiel.com/,172.0,42.62,,,9400.0,9400.0,14750.0,,1350.0,300.0,6000.0,,,,491914,04273800,Partial data
Yeshiva Gedolah Keren Hatorah,Lakewood,https://yeshivagedolahkerenhatorah.com/,189.0,95.0,,,9950.0,9950.0,15350.0,,1500.0,300.0,6000.0,,,,491640,04265300,Partial data
Yeshiva Gedolah Shaarei Shmuel,Lakewood,https://yeshivagedolahshaareishmuel.com/,132.0,53.0,,,9720.0,9720.0,16075.0,,2800.0,300.0,6000.0,,,,488350,04252000,Partial data
Yeshiva Gedolah Tiferes Boruch,North Plainfield,https://yeshivagedolahtiferesboruch.com/,70.0,100.0,,,9850.0,9850.0,15300.0,,1450.0,300.0,6000.0,,,,491613,04264400,Partial data
Yeshiva Gedolah Zichron Leyma,Union,https://www.yzl.edu/,47.0,70.59,,,11350.0,11350.0,17550.0,,2200.0,300.0,6000.0,,,,476692,04192400,Partial data
Yeshiva Gedolah of Woodlake Village,Lakewood,yeshivaohrzechariah.com/,79.0,95.45,,,9030.0,9030.0,14650.0,,1670.0,300.0,6000.0,,,,493707,04279600,Partial data
Yeshiva Toras Chaim,Lakewood,https://ytclakewood.com/,225.0,98.41,,,12750.0,12750.0,21574.0,,5400.0,300.0,6000.0,,,62526.0,451398,04131100,Partial data
Yeshiva Yesodei Hatorah,Lakewood,yeshivayesodeihatorahlakewood.com/,72.0,100.0,,,12500.0,12500.0,18411.0,,2800.0,300.0,6000.0,,,,481438,04216100,Partial data
Yeshivas Be'er Yitzchok,Elizabeth,https://yeshivasbeeryitzchok.org/,52.0,100.0,,,11450.0,11450.0,32040.0,,5200.0,300.0,6000.0,,,82560.0,451370,04123400,Partial data
Yeshivas Emek Hatorah,Howell,yeshivasemekhatorah.com/,93.0,100.0,,,9750.0,9750.0,15550.0,,3200.0,300.0,6000.0,,,,491765,04270300,Partial data
Assumption College for Sisters,Denville,www.acs350.org/,35.0,,,,5773.0,5773.0,,,8000.0,135.0,250.0,,,,183600,00259500,Partial data
Yeshiva Bais Aharon,Lakewood,https://www.yeshivabaisaharon.com/,13.0,75.0,,,10350.0,10350.0,,,2640.0,300.0,6000.0,,,,490319,04261200,Partial data
Yeshiva Gedolah of Cliffwood,Keyport,https://yeshivagedolahcliffwood.com/,53.0,80.0,,,8550.0,8550.0,,,3000.0,300.0,6000.0,,,,491710,04269300,Partial data
Atlantic Cape Community College,Mays Landing,atlanticcape.edu/,3860.0,,,,4863.0,7263.0,15261.0,,,1976.0,,,9500.0,34241.0,183655,00259600,Partial data
Aviation Institute of Maintenance-Teterboro,Hasbrouck Heights,aviationmaintenance.edu/campuses/teterboro-nj,500.0,,,,16757.0,16757.0,26064.0,,,1000.0,,,14279.0,73971.0,187000,00545200,Partial data
Bergen Community College,Paramus,https://www.bergen.edu/,10597.0,,,,4757.0,9005.0,15317.0,,,1500.0,,,12000.0,46624.0,183743,00473600,Partial data
Berkeley College-Woodland Park,Woodland Park,https://berkeleycollege.edu/,1798.0,,,,28600.0,28600.0,38702.0,,,400.0,,,23251.0,40251.0,183789,00750200,Partial data
Brookdale Community College,Lincroft,https://www.brookdalecc.edu/,7898.0,,,,5921.0,9806.0,15369.0,,,2000.0,,,12000.0,44379.0,183859,00840400,Partial data
Camden County College,Blackwood,https://www.camdencc.edu/,6555.0,,,,3960.0,4056.0,11538.0,,,1800.0,,,11851.0,41212.0,183938,00686500,Partial data
Chamberlain University-New Jersey,North Brunswick,https://www.chamberlain.edu/,1316.0,90.0,,,20462.0,20462.0,41740.0,,,600.0,,,20919.0,92405.0,486956,00638517,Partial data
County College of Morris,Randolph,www.ccm.edu/,5315.0,,,,6210.0,14310.0,14629.0,,,1400.0,,,9000.0,50243.0,184180,00772900,Partial data
Eastern International College-Jersey City,Jersey City,www.eicollege.edu/,474.0,100.0,,,18947.0,18947.0,29693.0,,,1000.0,,,24751.0,35008.0,421878,03122600,Partial data
Eastwick College-Hackensack,Hackensack,www.eastwickcollege.edu/,874.0,,,,16913.0,16913.0,38705.0,,,1210.0,,,13264.0,39762.0,183488,01246200,Partial data
Eastwick College-Nutley,Nutley,www.eastwickcollege.edu/,456.0,,,,14846.0,14846.0,22900.0,,,1015.0,,,11775.0,42827.0,185721,02092300,Partial data
Eastwick College-Ramsey,Ramsey,www.eastwickcollege.edu/,929.0,,,,17028.0,17028.0,33887.0,,,1158.0,,,16084.0,51725.0,184959,02053700,Partial data
Essex County College,Newark,www.essex.edu/,5643.0,,,,5346.0,9318.0,11821.0,,,2400.0,,,,37230.0,184481,00710700,Partial data
Holy Name Medical Center-Sister Claire Tynan School of Nursing,Englewood Cliffs,holyname.org/SchoolofNursing,181.0,25.0,,,23489.0,23489.0,24635.0,,,1500.0,,,20000.0,87408.0,184968,00641700,Partial data
Hudson County Community College,Jersey City,www.hccc.edu/,6386.0,,,,5020.0,12280.0,13014.0,,,1500.0,,,10500.0,34333.0,184995,01295400,Partial data
Mercer County Community College,West Windsor,www.mccc.edu/,5169.0,,,,5082.0,8942.0,12337.0,,,1464.0,,,10500.0,43264.0,185509,00474000,Partial data
Middlesex College,Edison,www.middlesexcollege.edu/,8321.0,,,,4524.0,7068.0,13721.0,,,1460.0,,,9750.0,46861.0,185536,00261500,Partial data
Ocean County College,Toms River,www.ocean.edu/,5566.0,,,,4690.0,6850.0,16424.0,,,438.0,,,11150.0,45210.0,185873,00262400,Partial data
Passaic County Community College,Paterson,https://web.pccc.edu/,4546.0,,,,5580.0,9690.0,14717.0,,,1600.0,,,7536.0,36972.0,186034,00999400,Partial data
