School Name,Revenue,Expenses,Assets,Tax_Year,Last Updated,EIN,Filing_PDF
Princeton University,3611165000,2630086000,41548353000,2023,2025-11-24,210634501,
Seton Hall University,528427000,513621000,881744000,2023,2025-11-24,221500645,
Stevens Institute of Technology,505884074,476905827,1006999231,2023,2025-11-24,221487354,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F221487354_202306_990_2024042322369866.pdf
Rider University,196010794,218953226,247078205,2023,2025-11-24,210650678,
TCNJ Foundation,8134492,12128100,63000599,2023,2025-11-24,222448189,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_02_2024_prefixes_13-22%2F222448189_202306_990_2024022022296318.pdf
Destination College,0,0,0,Error,2025-11-24,222479262,N/A
